track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
7mY1LR71yeCJWYcNGT5xMF,The Coup,0.713,0.103,0.91,123.979,0.921,-5.807,0.131,300168,0,0.12,0.0498,0
5nZR6YRCKvYCXchMDpuIJ7,Water Street,0.672,0.599,0.437,99.988,0.107,-14.487,0.109,498600,10,0.412,0.028,0
3UpaVhDv0SSohoKwukMfD6,Arp 8,0.797,0.0056,0.796,122.041,0.846,-12.089,0.101,300217,10,0.564,0.0618,0
3omdHDf6LTJVnHDUKS9kN7,That Thing with the Rabbit,0.723,0.0624,0.862,99.99,0.00664,-8.222,0.131,237740,1,0.289,0.055,1
4EF0sD3FSWxf6w5VOuoQir,bluefairy,0.502,0.0223,0.783,139.035,0.0047,-7.269,0.359,231383,4,0.625,0.119,0
5Un6I8vHv1x0HdWEXjOgwc,Beautiful Strangers,0.633,0.00378,0.755,129.988,0.765,-9.904,0.445,237027,8,0.0896,0.0373,1
6tM2gr0pEFq1oPTIjFeICU,Orb Two,0.428,0.895,0.264,94.266,0.356,-18.692,0.149,184299,10,0.643,0.0413,0
08SwGX1aTHB4ggF2lE8PVg,In Your Head Now (feat. Azekel),0.721,0.393,0.619,113.979,0.911,-11.641,0.109,319643,4,0.38,0.0465,0
0GOxU3iUcbrWkvCdkvo8nL,R E A D Y T O C O N N E C T,0.281,0.61,0.372,144.095,0.886,-16.158,0.293,129984,2,0.0891,0.0441,1
2fnJWZtmyXoIXId90sYWWa,Oody Fnk,0.836,0.693,0.722,127.035,0.9,-7.918,0.285,282260,0,0.229,0.0734,0
4N8Iwg073FXfJgSdpe5xU4,Coda,0.648,0.134,0.748,127.002,0.776,-12.314,0.099,216066,10,0.449,0.0446,0
6HicnILThHx5EEay264cWT,Hip Control,0.757,0.00231,0.657,125.009,0.773,-9.415,0.136,370200,2,0.479,0.107,1
46lj4ymw5WmQkuTw9XJuHZ,Clap Gently,0.654,0.01,0.908,123.013,0.907,-9.119,0.0934,148100,2,0.0375,0.0385,1
7lvkoMYnToSLpp9XHWeEyA,Da City of a Hunnid Plays,0.621,0.108,0.836,139.975,0.00683,-5.485,0.479,197673,11,0.719,0.34,0
