id,key,instrumentalness,energy,acousticness,danceability
2FUPzuRcfp8xaJKkaHzTiQ,0,9.79e-05,0.382,0.456,0.775
5w0N6wRgaPSwwpbzGMUqtu,2,0.974,0.457,0.611,0.327
4K9Qwo5S0dfxXiBv8nuGTR,2,0.0201,0.623,0.000968,0.595
1C1HXoQnkCAADnTJn1fXXi,7,0.849,0.606,0.0246,0.721
5gtm6zl1T2meGTS8hS0YRF,5,0.523,0.785,0.363,0.822
6HsUIbJFOJzuWgNNWVDHtV,2,0.196,0.559,0.0704,0.698
182TeWjHkx2zsB5kBTBJS1,10,0.153,0.436,0.211,0.318
3Nn6tQg6gYqCMZR0IpiiFJ,9,0.13,0.811,0.00145,0.429
7sIPjaEIz3puBvD9eLlSWs,9,0.385,0.874,0.00982,0.579
1B3dZi98DVAdHCYwMual8B,1,0.914,0.945,0.000419,0.771
5yiEvFextSviCStbutB8UI,0,0.669,0.697,0.202,0.67
4tAIZ4jqnYtuZwx5trVtbE,6,0.0257,0.719,0.00859,0.394
33pyOrXlhk1GGAUckBRbWA,4,0.923,0.315,0.878,0.47
1kl4c9XnO8o7UTBcqWQJo5,11,0.359,0.516,0.295,0.327
26chXKKR7oLwMVeMZOELo6,10,0.921,0.399,0.0402,0.739
0meByrGhwxMB1fLV9EhCF1,1,0.888,0.716,0.0544,0.593
7nqR4JqzSBmELk99Q5z6J2,4,0.953,0.899,0.443,0.353
6bOCgEL5pfoOOUlGF9HNua,9,0.889,0.23,0.196,0.787
6ZynxqD0m0jIa1JDC4KPcu,8,0.934,0.771,0.645,0.569
6dtObPFRUZ4eKsZZCp9ddZ,5,0.917,0.661,0.84,0.712
5FdiUDLORFvwxzTvqqOrcC,9,0.953,0.586,0.501,0.609
098rzZcpw3Pd6lDHHy45X6,4,0.896,0.869,0.011,0.731
3VRemRqHZi7qiWzJfc684f,4,0.856,0.841,0.00409,0.667
0h6ENY9kDXxfbbfnX3onPR,6,0.783,0.543,0.0398,0.794
2oIDZww61SUEmYd48m1tUc,8,0.827,0.511,0.0436,0.298
0aAdjvLx7S9rgg7HRbLkxB,11,0.614,0.72,0.0291,0.623
1T46rPw0SECpM0bYMEJoEN,1,0.685,0.387,0.304,0.328
3r6jxrlgEeigDLEUtMuIE0,0,0.844,0.726,0.584,0.651
42NPEbb30IfU6NLnPpLRQq,11,0.854,0.866,0.000531,0.69
6wxsQyLhYrkjponLVdyYBi,8,0.842,0.637,0.0145,0.819
4yYcbuP95sviOA60T9zVXf,11,0.775,0.819,0.00473,0.65
3aBSxEmw6Ww79Un5oC7xJU,11,0.899,0.742,0.183,0.69
37Uy4OBd93yP89ZhCj5je2,0,0.84,0.871,0.0137,0.715
6On9zhsdq3gbnGmdfLeCxR,11,0.919,0.766,0.0325,0.64
0U2fb4cYZyTAFe998npOqh,7,0.000779,0.671,0.00717,0.83
4mJAhcdnp1wPhQK7ODF24h,1,0.837,0.812,0.00497,0.529
1RonSMfR2Ob1qzmbKG1GQV,10,0.865,0.8,0.185,0.709
56BkhyZS6uapZH69FdhAPU,10,0.897,0.574,0.0581,0.55
4VGa1by1qnmiV4JSde3mnz,2,0.829,0.743,0.0416,0.7
5kdXiiF8MxyLVhRjkVv9jQ,8,0.793,0.231,0.92,0.219
3jpfUbj7yYPro4RTGu4ehj,8,0.81,0.981,0.00491,0.757
7Dm1ErVV1wpu2T6Rc8ZMIY,1,0.798,0.837,0.197,0.505
1LsZ5aoUJlphyNglORxQO3,2,0.887,0.807,0.0295,0.772
4QNMkhd49G4xJVQCrbrhst,8,0.16,0.613,0.313,0.704
2LDbHa87vrruqNVfN5Qkdp,6,0.834,0.617,0.225,0.804
7a14IX8l5Is5uAWlytxEkt,0,0.681,0.794,0.167,0.8
3jpY5FadMxgQ48NULttOpw,10,0.903,0.749,0.000912,0.74
5dyFpHnCShXfEmDoKIg0J5,1,0.000232,0.811,0.0028,0.868
4VP8nqMq7eN3vMnuAaptax,0,8.91e-05,0.17,0.988,0.597
