track_id,track_name,danceability,acousticness,tempo,instrumentalness,energy,key,speechiness,mode,valence,liveness,play_number,playlist_number
5sWLJmq4bXSg70gpeHpPqa,Flight Formation,0.62,0.026,120.834,0.809,0.79,9,0.0616,1,0.604,0.396,20,2
3SiwBkQGa7F6zupLVtEP9r,Drums and Claps,0.807,0.0529,122.97,0.859,0.958,6,0.0452,1,0.691,0.106,21,2
7K1nVHffWOQkVK94v1Fn06,Feelin' Moody,0.728,3e-05,123.356,0.0676,0.971,2,0.0621,1,0.477,0.0282,22,2
4YGJ3id9Vt9WmtySe2bAbz,The Black Cat,0.811,0.000263,123.989,0.863,0.421,7,0.0714,1,0.332,0.0918,23,2
3NQpVcIHoWZUBWtP6uE9ey,Somewhere,0.749,0.000788,122.998,0.772,0.57,8,0.0323,1,0.471,0.284,24,2
0brnyKRZKnNngbH444p8cn,Prince of the Sea,0.0774,0.628,76.982,0.888,0.349,0,0.041,1,0.0283,0.0557,1,3
62wAc90VNxtcNJQJrPaeJQ,Come Meh Way,0.682,0.0738,159.983,0.000758,0.861,4,0.0978,0,0.742,0.183,2,3
52DU7jI42CFgfUrvi7mhbA,In Between Worlds,0.532,0.393,89.802,2.53e-06,0.397,0,0.0411,1,0.451,0.116,3,3
2ZFdsjmnaovdILzLCaZaVw,Alagi,0.829,0.399,103.002,0.611,0.541,9,0.0864,0,0.577,0.122,4,3
0lwkL0G07NYtLrQCugi8lX,Pineapple,0.849,0.392,99.983,0.191,0.529,7,0.141,1,0.538,0.105,5,3
6yMAy8BOBn1dZ1Emu1akHS,Apakapa,0.598,0.00367,109.995,0.899,0.9,7,0.0528,1,0.445,0.0938,6,3
29uvh9AKNiD8CVwxDSWZeD,Pass Through the Fire,0.485,0.000222,94.018,0.807,0.694,7,0.0326,1,0.452,0.111,7,3
5Hq3XkSIa6kJ46jJWkSJRh,Boreal Forest,0.281,0.403,124.671,0.471,0.431,1,0.0335,1,0.191,0.116,8,3
2qcPi2BKIrArJ0Cnb06kqC,Till dig,0.593,0.863,116.41,0.926,0.258,10,0.0544,0,0.1,0.0906,9,3
23fEf1PfWtRbVSUEizPNjH,Inharmonious Slog,0.793,0.104,115.025,0.805,0.492,1,0.0526,0,0.12,0.337,10,3
4iK42BgJqtTLVBLwrxVfLN,Life on Earth,0.661,0.627,112.453,0.857,0.669,9,0.0346,0,0.776,0.304,11,3
2DeV4SryfbbEM1YgedzKP4,Burns,0.749,0.32,120.008,0.855,0.538,2,0.034,1,0.122,0.0904,12,3
0MUyYLTGossGLHTkHQH65W,I Will Make Room for You - Four Tet Remix,0.661,0.106,119.999,0.892,0.661,6,0.0431,1,0.729,0.0975,13,3
