track_id,track_name,danceability,acousticness,tempo,instrumentalness,loudness,key,speechiness,mode,play_number,playlist_number,tempo_scaled
1P0lq7DjgZnqR76Q5gFM2m,House Music (Drum Mix 2),0.8,0.204,127.986,0.861,-9.565,5,0.0511,0,43,0,0.5159747950993159
4TymjSPrVbEYBzhKChkeQJ,Teardrops (Don't stop The Music) - Nick Morgan Remix,0.77,0.0131,124.002,0.897,-8.625,3,0.0639,0,44,0,0.49991332287832546
18DPBQG245AY7J3rRl4tH0,Nice N Tight - Urban Blues Project Remix,0.725,0.0021,124.995,0.721,-7.722,5,0.0481,0,45,0,0.503916596451479
3NMxkmSJ3opyoXbKE5Xmv0,Velo Que Bonito,0.803,0.00879,122.992,0.845,-6.744,6,0.0403,1,46,0,0.49584151390663866
3oUaDxWbRHZls0gyZZ7bDZ,U Sure Do,0.702,0.0146,127.964,0.482,-9.344,3,0.0713,0,47,0,0.5158861022306256
6lnL2lU4Pjhs1vQP8W1HhT,Foreal - Seb Zito Remix,0.806,0.00134,127.012,0.914,-10.774,1,0.0689,1,48,0,0.5120481199127584
1zfPh26JQxIrLSLW7gGYai,Cleo - Extended Mix,0.803,0.00103,125.012,0.794,-7.081,8,0.059,0,49,0,0.5039851318500123
5ZB4nMkRRPxIcKIKJscNVK,Deep N'Yo Soul - Vocal Mixx,0.788,0.00409,125.015,0.565,-6.639,9,0.037,1,50,0,0.5039972263321064
07dt1UuXZJvlceiRfn6wIm,Off The Wall,0.794,0.0142,125.943,0.89,-9.528,0,0.0452,1,51,0,0.5077384527932206
59Qcp3nhxhLgu3PhSBkDmz,Traction - Paride Saraceni Remix,0.731,0.000308,123.994,0.849,-5.306,7,0.0409,1,52,0,0.4998810709260745
18zbGRbRmj5PeaREIdvvY2,Burn After Reading,0.797,0.0066,126.0,0.684,-8.502,6,0.0573,0,53,0,0.5079682479530089
234FL0Q5RFZI7H24hMDJZR,Jack,0.808,0.00062,123.995,0.922,-6.116,10,0.0535,0,54,0,0.49988510242010586
6Etf0OY9f0PK4NHvmb1f3m,Jump Upped - Original Mix,0.805,0.000326,123.986,0.572,-4.665,1,0.0726,1,55,0,0.4998488189738235
3u1JsbCvZ5wxQNkW5vj5eE,Bass Tribe,0.788,0.0002,124.983,0.905,-12.547,5,0.0536,0,56,0,0.5038682185231025
1ERU3zEnFqexwIv60Rlx4z,Ease Your Mind - Radio Mix,0.904,0.0204,126.013,0.831,-4.502,11,0.135,0,57,0,0.5080206573754168
3OmIjYUcOawxzkhXKaeDA2,Turn Up The Bass - Turn Up The House Mix By Tyree Cooper,0.805,0.0027,127.208,0.00177,-6.83,7,0.214,1,58,0,0.5128382927429076
0UUcK8m7Q7cNFiuSvHs3Ty,Obreros,0.793,0.00484,126.017,0.557,-7.6,2,0.0526,0,59,0,0.5080367833515422
1wDtbSYvTsPfBMfLWACKVW,Why Do You Love Me? - Fred Everything's Dub,0.721,0.000389,124.023,0.867,-10.203,9,0.0496,1,60,0,0.4999979842529843
4IGE0BbbbqGZNAYIJzgNt0,Body'n'soul - Ian Pooley's Soul Mix [2015 Remaster],0.885,0.000126,126.994,0.803,-5.944,6,0.111,1,61,0,0.5119755530201937
1jhkzxRKrYCtTQTVniecEp,Glasgow Underground 97:07 House Mix - Continuous DJ Mix,0.816,0.00425,124.003,0.761,-8.433,1,0.0463,1,62,0,0.49991735437235685
6iNw24AhlYcukCLUtU84Yr,Lift Me Up,0.801,3.52e-05,125.99,0.873,-10.985,10,0.0906,0,63,0,0.5079279330126951
0U9uoZPdz4DfC5dcPw9JJW,Dakar Disco - Crackazat Remix,0.78,0.0118,124.054,0.426,-10.473,4,0.0528,0,64,0,0.5001229605679569
6YR0hdWdt327cDGGJmmm5T,Wallop,0.806,5.04e-05,123.014,0.875,-10.176,1,0.0621,1,65,0,0.49593020677532884
7iGu26wOl5UMzqHYeU3aoa,Look Around You,0.63,0.0424,122.017,0.85,-7.299,5,0.0421,0,66,0,0.49191080722604985
4VSvD3N62k8RmZtSIQT4IM,For Sunking - Melons Sex Strip Mix,0.846,0.000262,126.004,0.526,-8.976,10,0.188,0,67,0,0.5079843739291344
4rZJEmachLsxGvZC3V9aCA,89's The Year,0.756,0.00596,124.006,0.907,-9.629,11,0.0446,0,68,0,0.49992944885445095
008ZNFo4fBW0fCkqA3IcQg,Labaneria - Julien Chaptal Remix,0.811,0.000202,125.999,0.858,-7.06,1,0.0525,0,69,0,0.5079642164589775
4GTY7EY6pfBknZlxzNI9MF,Fire Papi,0.746,0.0166,123.982,0.952,-7.679,11,0.0733,0,70,0,0.499832692997698
3j8xObsGOilqWptFLy8ngi,Doin' Ya Thang,0.822,0.00264,123.997,0.0524,-4.691,9,0.128,1,71,0,0.4998931654081686
42oj2jyTuCvD6OIgLbrPAO,Haven't You Heard - Butch Remix,0.781,0.0132,127.99,0.636,-6.196,11,0.0525,0,72,0,0.5159909210754413
0Zf85TrXLJMUISr4lUik5A,Resist The Storm,0.761,0.000952,127.99,0.85,-8.766,0,0.0649,1,73,0,0.5159909210754413
1TYVq8KyZfFEIXBaXsMcJK,Amor,0.797,0.00242,123.001,0.898,-8.116,7,0.0597,1,74,0,0.49587779735292103
3bPUPhzkvGNgvMeSxdQoYI,That Acid Track,0.869,0.0085,126.012,0.365,-9.688,10,0.0982,0,75,0,0.5080166258813854
1OLvZPmX4raJOZnU47J5mJ,See U in My Dreams,0.802,4.34e-05,122.978,0.605,-9.925,7,0.0449,1,76,0,0.4957850729901994
1pzx2eOnLv7DTl25gQRdET,Big Plastic Room,0.666,0.0145,122.013,0.827,-10.306,7,0.0431,1,77,0,0.4918946812499244
0lFbrX7pE8WtxtCgGzBX98,Triangular Dance - Belaria Remix,0.806,0.009,117.989,0.866,-5.308,2,0.0514,1,78,0,0.47567194926767914
6EEcPi3jwGYlG7BdMlnf42,Typerope - Original Mix,0.801,4.07e-05,130.478,0.943,-10.959,1,0.0526,1,79,0,0.5260212782254976
1aoHZfwbeqzpu0Y7wXOMHN,The Walk,0.805,0.00153,125.991,0.906,-9.801,1,0.0726,1,80,0,0.5079319645067265
1nbrbXcF9cZHnmXEwF3RiX,Obsession,0.728,0.0203,128.828,0.000561,-10.485,9,0.0467,0,81,0,0.519369313073732
5ioAWl1uaK1Ke9fzBKzkwf,Cascade,0.803,0.000761,130.002,0.939,-10.801,1,0.0542,1,82,0,0.524102287066564
3vomzfxUuA23fJGqdnAbuC,Pulse IX,0.687,0.000148,128.0,0.876,-6.571,8,0.0445,0,83,0,0.5160312360157551
2jrYQSzTHm4fZSYSF0GQXb,Sweat,0.864,0.00188,129.995,0.763,-8.211,4,0.0777,0,84,0,0.5240740666083444
4O6aFTVJScCFm8e2lQtIvJ,Big Beat Manifesto,0.796,0.00205,126.025,0.759,-10.003,2,0.0462,1,85,0,0.5080690353037932
2VuzBUB5V9AlpniCUhaszP,Fake ID (Coke & Rum Remix),0.859,0.011,124.931,0.00481,-13.12,9,0.0921,0,86,0,0.503658580833471
7zz75gb7McZqmPHqYsu9ki,By Your Side,0.69,0.000415,127.012,0.895,-6.584,0,0.0412,0,87,0,0.5120481199127584
